iter	MultiClass
0	1.037961635
1	0.9891648364
2	0.9492117522
3	0.9159517168
4	0.8885027781
5	0.8654768634
6	0.8457953385
7	0.8287917837
8	0.8131562354
9	0.8004122824
10	0.7890879052
11	0.779151771
12	0.7711333979
13	0.763940024
14	0.7575181415
15	0.7520431994
16	0.7470403597
17	0.7420199621
18	0.7382300192
19	0.7349125603
20	0.731566387
21	0.72856989
22	0.7262467076
23	0.7240339258
24	0.7220707179
25	0.7203126952
26	0.7187516808
27	0.7174807852
28	0.7159903105
29	0.7150332962
30	0.7138269901
31	0.7129800779
32	0.7121615437
33	0.7111034487
34	0.710104787
35	0.7096831057
36	0.7087919058
37	0.7083692152
38	0.7079687728
39	0.7073932108
40	0.7067437403
41	0.706108583
42	0.7055791763
43	0.705015363
44	0.704551049
45	0.7040225133
46	0.7036325587
47	0.7032059208
48	0.7029897245
49	0.7026954134
50	0.7022029523
51	0.7018761899
52	0.7015573863
53	0.7008443011
54	0.7006006733
55	0.7003261336
56	0.7000823778
57	0.6998180491
58	0.6993959104
59	0.6990552807
60	0.6985769192
61	0.6982760356
62	0.6979676563
63	0.6975707111
64	0.6973637301
65	0.6970729484
66	0.6967771786
67	0.6965104728
68	0.6962379935
69	0.6958176698
70	0.6955573623
71	0.6952768808
72	0.6949734568
73	0.69465976
74	0.6944511254
75	0.6940852454
76	0.6938536248
77	0.6936193666
78	0.6933947931
79	0.6930116832
80	0.6927992717
81	0.6924757564
82	0.6921652102
83	0.6920209373
84	0.6917630993
85	0.6915210991
86	0.6913344105
87	0.6910488756
88	0.6909047793
89	0.690730789
90	0.6904912867
91	0.6902402178
92	0.6899678555
93	0.6898044457
94	0.6895410849
95	0.6893681527
96	0.6890839924
97	0.6887737458
98	0.6885974706
99	0.6884055944
100	0.6880721639
101	0.6878597379
102	0.6874588765
103	0.68721627
104	0.6870334407
105	0.6867346141
106	0.686516627
107	0.6862888148
108	0.6859259958
109	0.6856531716
110	0.6853808182
111	0.6851346024
112	0.6848132315
113	0.6846379477
114	0.6844626589
115	0.6842693254
116	0.6840410239
117	0.6838523991
118	0.6835660098
119	0.6832566109
120	0.6829648244
121	0.6828365188
122	0.682542145
123	0.6823414576
124	0.6820083901
125	0.6817162755
126	0.681534043
127	0.6813185925
128	0.6811361879
129	0.6809848444
130	0.6808731172
131	0.6806261559
132	0.6803755487
133	0.6801248919
134	0.6799921351
135	0.6796939332
136	0.6794757176
137	0.679103052
138	0.6787545197
139	0.6786358217
140	0.6784343746
141	0.6782585755
142	0.677955377
143	0.6777447977
144	0.6774565507
145	0.677239627
146	0.6770008544
147	0.6767359941
