iter	Passed	Remaining
0	23	23071
1	43	21745
2	62	20709
3	81	20295
4	101	20151
5	120	19987
6	138	19645
7	156	19346
8	174	19175
9	193	19186
10	211	18974
11	230	19010
12	249	18938
13	267	18856
14	285	18759
15	306	18820
16	324	18787
17	345	18842
18	362	18735
19	380	18636
20	400	18678
21	417	18577
22	437	18579
23	455	18504
24	471	18391
25	491	18413
26	508	18319
27	526	18284
28	546	18309
29	562	18191
30	581	18188
31	600	18154
32	615	18047
33	631	17952
34	650	17921
35	669	17932
36	687	17896
37	706	17873
38	723	17825
39	739	17751
40	755	17677
41	773	17634
42	793	17658
43	810	17601
44	826	17550
45	843	17494
46	860	17449
47	880	17466
48	899	17453
49	915	17394
50	933	17364
51	950	17329
52	970	17345
53	989	17330
54	1007	17307
55	1024	17265
56	1041	17224
57	1058	17185
58	1074	17134
59	1089	17076
60	1108	17059
61	1126	17039
62	1146	17049
63	1165	17038
64	1182	17005
65	1199	16972
66	1217	16955
67	1235	16928
68	1251	16886
69	1268	16848
70	1286	16839
71	1305	16822
72	1323	16806
73	1339	16760
74	1357	16743
75	1373	16704
76	1392	16695
77	1410	16669
78	1428	16650
79	1444	16606
80	1460	16571
81	1477	16540
82	1496	16538
83	1514	16516
84	1531	16488
85	1548	16453
86	1565	16432
87	1582	16396
88	1599	16372
89	1616	16342
90	1633	16315
91	1649	16277
92	1666	16250
93	1684	16239
94	1705	16247
95	1721	16214
96	1739	16190
97	1755	16160
98	1774	16145
99	1793	16139
100	1812	16132
101	1829	16107
102	1848	16094
103	1863	16055
104	1880	16030
105	1897	16004
106	1915	15987
107	1934	15976
108	1949	15935
109	1967	15915
110	1985	15898
111	2003	15886
112	2019	15852
113	2037	15832
114	2052	15798
115	2068	15767
116	2084	15730
117	2100	15702
118	2118	15681
119	2135	15660
120	2153	15645
121	2172	15632
122	2189	15610
123	2209	15611
124	2229	15607
125	2245	15577
126	2264	15566
127	2281	15540
128	2298	15518
129	2312	15478
130	2331	15467
131	2349	15449
132	2364	15416
133	2382	15398
134	2400	15381
135	2419	15369
136	2435	15342
137	2453	15324
138	2470	15300
139	2486	15273
140	2502	15248
141	2518	15220
142	2533	15184
143	2550	15158
144	2564	15120
145	2581	15098
146	2598	15077
147	2616	15060
148	2632	15035
149	2652	15028
150	2670	15012
151	2684	14978
152	2703	14968
153	2722	14955
154	2739	14935
155	2757	14919
156	2774	14897
157	2792	14883
158	2809	14862
159	2825	14835
160	2842	14812
161	2857	14780
162	2874	14760
163	2892	14742
164	2909	14725
165	2926	14703
166	2944	14689
167	2960	14663
168	2980	14654
169	2997	14636
170	3015	14618
171	3033	14603
172	3050	14580
173	3069	14569
174	3086	14551
175	3107	14547
176	3124	14528
177	3143	14515
178	3160	14495
179	3176	14472
180	3194	14453
181	3210	14428
182	3226	14403
183	3242	14377
184	3257	14350
185	3273	14327
186	3290	14305
187	3306	14280
188	3322	14255
189	3342	14248
190	3359	14228
191	3374	14199
192	3392	14187
193	3410	14167
194	3426	14145
195	3444	14131
196	3460	14105
197	3478	14089
198	3495	14070
199	3512	14049
200	3528	14027
201	3545	14007
202	3562	13988
203	3577	13958
204	3595	13944
205	3615	13936
206	3633	13918
207	3649	13896
208	3666	13874
209	3681	13849
210	3698	13830
211	3715	13810
212	3732	13792
213	3748	13767
214	3765	13747
215	3785	13740
216	3802	13721
217	3820	13704
218	3836	13681
219	3853	13661
220	3869	13638
221	3889	13630
222	3908	13618
223	3922	13588
224	3940	13571
225	3958	13557
226	3979	13549
227	3997	13534
228	4016	13521
229	4033	13503
230	4049	13481
231	4066	13462
232	4086	13453
233	4105	13438
234	4121	13416
235	4136	13390
236	4153	13373
237	4169	13348
238	4188	13337
239	4208	13326
240	4226	13310
241	4243	13293
242	4261	13275
243	4279	13259
244	4297	13242
245	4315	13228
246	4334	13214
247	4351	13194
248	4368	13177
249	4387	13162
250	4406	13148
251	4425	13136
252	4441	13114
253	4459	13097
254	4476	13077
255	4493	13059
256	4513	13047
257	4531	13031
258	4547	13009
259	4564	12992
260	4581	12972
261	4600	12957
262	4617	12938
263	4636	12925
264	4653	12907
265	4670	12887
266	4690	12876
267	4706	12854
268	4725	12840
269	4742	12822
270	4758	12799
271	4776	12784
272	4795	12771
273	4813	12754
274	4833	12741
275	4851	12727
276	4868	12707
277	4887	12693
278	4905	12675
279	4922	12658
280	4938	12635
281	4954	12613
282	4970	12593
283	4991	12584
284	5007	12563
285	5026	12547
286	5042	12526
287	5060	12510
288	5079	12495
289	5098	12482
290	5114	12460
291	5134	12448
292	5151	12431
293	5170	12415
294	5184	12391
295	5203	12375
296	5220	12356
297	5236	12335
298	5255	12320
299	5274	12306
300	5289	12283
301	5307	12266
302	5325	12250
303	5341	12229
304	5359	12211
305	5374	12188
306	5392	12171
307	5408	12151
308	5427	12136
309	5444	12118
310	5462	12101
311	5479	12083
312	5499	12070
313	5516	12053
314	5534	12035
315	5550	12015
316	5567	11994
317	5584	11977
318	5603	11961
319	5622	11947
320	5638	11927
321	5654	11906
322	5672	11888
323	5692	11877
324	5709	11858
325	5727	11840
326	5743	11821
327	5760	11801
328	5776	11781
329	5795	11767
330	5812	11747
331	5829	11729
332	5848	11714
333	5866	11698
334	5884	11681
335	5901	11662
336	5919	11645
337	5935	11625
338	5951	11604
339	5968	11585
340	5987	11571
341	6006	11555
342	6022	11535
343	6039	11518
344	6055	11496
345	6076	11485
346	6096	11472
347	6112	11452
348	6131	11437
349	6149	11421
350	6170	11408
351	6190	11395
352	6207	11377
353	6223	11357
354	6238	11334
355	6253	11313
356	6270	11294
357	6287	11275
358	6303	11255
359	6318	11232
360	6335	11215
361	6352	11196
362	6370	11178
363	6387	11160
364	6403	11139
365	6417	11117
366	6434	11098
367	6451	11079
368	6467	11059
369	6484	11041
370	6501	11023
371	6518	11003
372	6532	10981
373	6549	10961
374	6566	10943
375	6583	10925
376	6602	10910
377	6618	10891
378	6635	10871
379	6650	10850
380	6668	10833
381	6685	10815
382	6702	10797
383	6715	10773
384	6731	10752
385	6746	10731
386	6762	10711
387	6778	10692
388	6794	10671
389	6813	10656
390	6831	10640
391	6846	10618
392	6861	10597
393	6880	10582
394	6899	10567
395	6916	10549
396	6937	10537
397	6956	10521
398	6976	10507
399	6995	10492
400	7015	10479
401	7035	10466
402	7054	10449
403	7074	10436
404	7096	10426
405	7116	10411
406	7135	10395
407	7153	10379
408	7171	10362
409	7187	10343
410	7205	10326
411	7222	10307
412	7240	10290
413	7259	10274
414	7277	10258
415	7298	10246
416	7315	10227
417	7332	10209
418	7350	10192
419	7368	10175
420	7386	10158
421	7404	10141
422	7421	10123
423	7439	10106
424	7456	10088
425	7474	10071
426	7490	10051
427	7507	10033
428	7524	10014
429	7539	9994
430	7554	9973
431	7570	9953
432	7587	9935
433	7605	9919
434	7621	9898
435	7636	9878
436	7651	9857
437	7668	9838
438	7685	9820
439	7702	9802
440	7716	9781
441	7732	9762
442	7750	9744
443	7764	9723
444	7781	9704
445	7798	9687
446	7814	9668
447	7832	9651
448	7850	9633
449	7867	9615
450	7884	9597
451	7901	9580
452	7917	9560
453	7932	9540
454	7948	9520
455	7964	9501
456	7982	9484
457	8000	9467
458	8016	9449
459	8032	9429
460	8048	9410
461	8065	9391
462	8081	9373
463	8099	9356
464	8115	9337
465	8132	9319
466	8151	9303
467	8170	9288
468	8190	9273
469	8208	9256
470	8226	9240
471	8245	9223
472	8263	9206
473	8282	9191
474	8302	9176
475	8319	9158
476	8338	9142
477	8358	9127
478	8376	9110
479	8394	9093
480	8412	9076
481	8429	9059
482	8447	9041
483	8465	9025
484	8486	9011
485	8506	8996
486	8527	8982
487	8546	8966
488	8565	8950
489	8582	8932
490	8603	8919
491	8622	8902
492	8641	8886
493	8662	8872
494	8680	8855
495	8698	8839
496	8716	8821
497	8732	8802
498	8748	8783
499	8764	8764
500	8780	8745
501	8797	8727
502	8815	8710
503	8831	8691
504	8847	8672
505	8863	8653
506	8881	8635
507	8897	8617
508	8914	8599
509	8931	8580
510	8947	8562
511	8963	8542
512	8979	8524
513	8997	8507
514	9013	8488
515	9028	8468
516	9045	8450
517	9061	8431
518	9076	8412
519	9095	8395
520	9110	8375
521	9126	8357
522	9144	8339
523	9162	8323
524	9183	8308
525	9200	8291
526	9217	8273
527	9237	8257
528	9256	8241
529	9275	8225
530	9296	8210
531	9315	8195
532	9335	8179
533	9355	8164
534	9375	8148
535	9395	8133
536	9413	8116
537	9430	8098
538	9449	8082
539	9468	8065
540	9484	8046
541	9503	8030
542	9519	8011
543	9538	7995
544	9555	7977
545	9572	7959
546	9589	7941
547	9607	7924
548	9625	7907
549	9642	7889
550	9660	7871
551	9677	7854
552	9695	7837
553	9712	7818
554	9727	7799
555	9742	7779
556	9759	7762
557	9776	7743
558	9795	7727
559	9811	7709
560	9828	7691
561	9847	7675
562	9867	7658
563	9886	7643
564	9907	7627
565	9923	7609
566	9941	7592
567	9959	7575
568	9987	7564
569	10008	7550
570	10025	7532
571	10042	7514
572	10058	7495
573	10076	7478
574	10101	7466
575	10119	7449
576	10138	7432
577	10157	7415
578	10174	7397
579	10193	7381
580	10211	7364
581	10227	7345
582	10245	7328
583	10261	7309
584	10279	7292
585	10296	7274
586	10314	7256
587	10330	7238
588	10348	7221
589	10366	7203
590	10384	7186
591	10401	7168
592	10417	7150
593	10435	7132
594	10454	7115
595	10472	7098
596	10491	7082
597	10510	7065
598	10529	7049
599	10548	7032
600	10566	7015
601	10583	6996
602	10599	6978
603	10617	6961
604	10633	6942
605	10650	6924
606	10665	6905
607	10683	6888
608	10701	6870
609	10718	6852
610	10737	6836
611	10754	6818
612	10772	6800
613	10788	6782
614	10807	6765
615	10825	6748
616	10842	6730
617	10860	6712
618	10876	6694
619	10895	6678
620	10911	6659
621	10928	6641
622	10945	6623
623	10961	6605
624	10978	6587
625	10999	6571
626	11015	6553
627	11033	6535
628	11049	6517
629	11067	6499
630	11083	6481
631	11103	6465
632	11121	6448
633	11139	6430
634	11157	6413
635	11175	6396
636	11194	6379
637	11213	6362
638	11230	6344
639	11247	6326
640	11263	6308
641	11281	6291
642	11300	6273
643	11316	6255
644	11334	6238
645	11351	6220
646	11369	6202
647	11389	6187
648	11408	6170
649	11425	6152
650	11443	6134
651	11461	6117
652	11479	6100
653	11496	6081
654	11512	6064
655	11530	6046
656	11550	6030
657	11570	6013
658	11588	5996
659	11607	5979
660	11627	5963
661	11647	5946
662	11667	5930
663	11692	5916
664	11736	5912
665	11754	5894
666	11774	5878
667	11794	5861
668	11815	5845
669	11837	5830
670	11856	5813
671	11877	5797
672	11899	5781
673	11919	5765
674	11937	5747
675	11954	5729
676	11974	5713
677	11992	5695
678	12010	5678
679	12028	5660
680	12047	5643
681	12067	5626
682	12086	5609
683	12106	5593
684	12127	5576
685	12146	5559
686	12169	5544
687	12187	5526
688	12207	5509
689	12225	5492
690	12241	5474
691	12260	5456
692	12280	5440
693	12298	5422
694	12319	5406
695	12337	5388
696	12355	5371
697	12376	5354
698	12397	5338
699	12417	5321
700	12436	5304
701	12455	5287
702	12474	5270
703	12493	5252
704	12513	5236
705	12532	5218
706	12549	5200
707	12567	5183
